SPECIMEN #,SPECIES,SUBSPECIES,SEX,SKULL LENGTH,CRANIAL WIDTH,NEUROCR HT,FACIAL HEIGHT,PALATE LENGTH,PALATE WIDTH,COMMENTS
USNM 518561,Callithrix penicillata,,F,43.35,19.54,23.84,13.54,13.45,14.82,
USNM 337330,Callithrix pygmaea,,F,32.86,16.43,18.19,9.24,10.11,11.80,
USNM 337325,Callithrix pygmaea,,F,34.38,17.02,19.14,9.71,11.35,12.22,
USNM 336321,Callithrix pygmaea,,M,34.16,16.96,19.08,9.96,9.79,10.90,frontonasal suture partially obliterated
USNM 336323,Callithrix pygmaea,,M,34.56,16.82,20.39,9.59,10.51,11.19,
USNM 337328,Callithrix pygmaea,,F,35.07,18.04,19.49,9.58,10.13,11.55,
USNM 336316,Callithrix pygmaea,,F,33.69,17.52,18.54,7.77,9.77,11.43,
USNM 337329,Callithrix pygmaea,,F,34.83,17.50,19.26,9.69,10.19,11.57,
USNM 336302,Callithrix pygmaea,,F,35.42,16.56,19.35,10.29,10.89,11.80,
USNM 336305,Callithrix pygmaea,,F,33.18,15.99,17.93,8.79,9.33,11.54,
USNM 336317,Callithrix pygmaea,,F,34.63,16.77,20.01,9.32,10.43,12.40,
USNM 336312,Callithrix pygmaea,,F,35.29,18.09,20.16,8.97,10.58,12.14,
USNM 336315,Callithrix pygmaea,,F,34.65,16.82,19.06,9.11,10.94,12.08,
USNM 336320,Callithrix pygmaea,,M,35.34,15.80,19.28,10.07,11.21,11.41,
USNM 336319,Callithrix pygmaea,,M,34.15,17.16,19.02,9.58,9.81,11.79,frontonasal suture partially obliterated
USNM 336314,Callithrix pygmaea,,F,35.22,17.60,19.70,9.38,9.79,11.91,
USNM 336311,Callithrix pygmaea,,F,35.64,17.15,20.16,10.11,10.66,12.68,
USNM 336309,Callithrix pygmaea,,F,35.09,16.45,19.38,9.14,11.20,11.99,
USNM 336306,Callithrix pygmaea,,F,34.24,15.95,19.24,9.93,10.34,11.20,
USNM 336307,Callithrix pygmaea,,F,35.13,17.07,18.68,9.59,10.95,12.07,
USNM 336304,Callithrix pygmaea,,F,34.90,16.79,20.38,8.89,10.23,11.60,frontonasal suture partially obliterated
USNM 397245,Callithrix pygmaea,,F,36.43,16.68,18.84,10.64,11.16,12.78,
USNM 337324,Callithrix pygmaea,,M,34.93,17.31,18.74,9.79,10.82,11.90,
USNM 337320,Callithrix pygmaea,,M,34.46,16.86,18.74,9.63,10.52,11.58,
USNM 337323,Callithrix pygmaea,,M,34.55,17.06,19.47,9.11,10.61,11.82,
USNM 336325,Callithrix pygmaea,,M,33.79,16.29,19.67,9.70,11.09,11.87,
USNM 336324,Callithrix pygmaea,,M,34.49,18.44,18.53,9.83,11.08,11.64,frontonasal suture partially obliterated
USNM 336322,Callithrix pygmaea,,M,34.85,17.39,18.90,10.62,10.88,11.76,frontonasal suture partially obliterated
USNM 319513,Callithrix pygmaea,,M,34.59,17.30,19.19,9.66,10.32,12.07,
USNM 337319,Callithrix pygmaea,,M,33.19,16.96,19.00,9.38,9.76,12.33,
USNM 337326,Callithrix pygmaea,,F,33.89,17.34,18.45,10.24,11.13,11.34,
USNM 337949,Callithrix pygmaea,,F,34.68,16.62,19.66,8.26,10.26,11.71,
USNM 336318,Callithrix pygmaea,,M,33.06,16.26,18.37,8.74,10.43,11.88,
USNM 324970,Callithrix pygmaea,,F,34.50,16.56,20.06,9.61,9.57,11.72,
USNM 314969,Callithrix pygmaea,,?,33.63,17.07,18.24,8.72,9.64,11.34,
USNM 299995,Callithrix pygmaea,,M,34.15,16.55,19.55,10.36,10.90,11.87,
USNM 314966,Callithrix pygmaea,,F,35.61,16.66,20.34,10.95,10.47,12.36,frontonasal suture partially obliterated
USNM 305778,Callithrix pygmaea,,M,34.81,17.18,18.90,9.02,10.40,12.20,frontonasal suture partially obliterated
USNM 303037,Callithrix pygmaea,,M,34.50,15.52,18.94,11.24,10.83,12.24,
USNM 397852,Callithrix pygmaea,,?,33.94,17.22,18.87,9.03,9.88,11.21,
USNM 337948,Callithrix pygmaea,,M,34.61,16.00,18.07,10.25,10.52,11.13,
USNM 337327,Callithrix pygmaea,,F,34.28,17.01,19.68,8.74,10.93,12.06,
USNM 337947,Callithrix pygmaea,,M,35.18,17.79,19.80,9.52,9.88,12.05,
USNM 397851,Callithrix pygmaea,,?,34.13,17.24,18.29,9.13,9.44,11.80,
USNM 290469,Callithrix pygmaea,,M,33.15,14.90,17.85,9.86,10.42,10.90,frontonasal suture partially obliterated
USNM 588346,Leontopithecus chrysomelas,,M,61.50,25.12,30.68,20.06,19.22,22.51,
USNM 588175,Leontopithecus chrysomelas,,?,58.19,24.55,29.42,20.73,19.91,20.81,
USNM 588229,Leontopithecus chrysomelas,,M,58.00,23.49,29.15,19.82,19.43,21.40,
USNM 583931,Leontopithecus chrysomelas,,F,57.49,25.03,29.35,21.96,20.44,21.56,
USNM 583258,Leontopithecus chrysomelas,,M,61.31,24.12,27.33,17.73,20.37,21.82,
USNM 588153,Leontopithecus rosalia,,?,59.63,24.61,30.40,21.74,19.61,23.27,
USNM 588177,Leontopithecus rosalia,,F,55.95,23.82,29.92,20.34,17.48,21.08,
USNM 588172,Leontopithecus rosalia,,F,56.48,26.20,29.34,17.98,16.94,20.90,frontonasal suture partially obliterated
USNM 588174,Leontopithecus rosalia,,?,56.85,25.62,30.07,21.02,19.47,21.70,
USNM 588156,Leontopithecus rosalia,,M,56.19,23.31,27.49,20.63,18.46,22.17,
USNM 588159,Leontopithecus rosalia,,M,56.59,26.47,29.05,20.10,19.28,21.43,
USNM 588160,Leontopithecus rosalia,,F,59.06,24.93,30.72,20.51,20.23,21.86,
USNM 588424,Leontopithecus rosalia,rosalia,F,55.54,24.42,28.10,17.37,18.75,21.72,frontonasal suture partially obliterated
USNM 588154,Leontopithecus rosalia,,?,56.07,24.41,28.09,20.45,18.28,20.70,
USNM 588164,Leontopithecus rosalia,,F,56.75,25.54,30.07,18.64,18.51,22.87,
USNM 588179,Leontopithecus rosalia,,M,57.00,23.96,31.16,19.84,20.35,21.59,
USNM 588152,Leontopithecus rosalia,,M,59.51,25.01,30.55,21.40,21.80,22.44,
USNM 271170,Leontopithecus rosalia,,F,54.57,23.29,27.88,19.12,19.54,20.83,frontonasal suture partially obliterated
USNM 269705,Leontopithecus rosalia,,F,54.43,24.06,28.68,17.82,19.02,21.20,
USNM 395454,Leontopithecus rosalia,,F,53.49,23.00,29.91,19.32,16.86,20.65,
USNM 583259,Leontopithecus rosalia,rosalia,F,55.42,22.85,30.15,16.07,17.85,20.20,frontonasal suture partially obliterated
USNM 546320,Leontopithecus rosalia,rosalia,M,56.74,23.68,28.83,20.56,18.15,21.32,craniotomy performed and glued back
USNM 337333,Leontopithecus rosalia,rosalia,M,54.35,23.67,27.73,18.83,16.55,20.94,
USNM 518579,Saguinus niger,,M,48.41,21.18,25.40,15.42,14.35,16.75,
USNM 393810,Saguinus niger,,M,50.99,23.45,26.90,15.74,15.44,17.31,
USNM 267590,Saguinus niger,,M,44.23,20.03,23.56,12.01,13.30,15.06,
USNM 518581,Saguinus niger,,F,48.45,20.80,24.86,14.68,14.50,17.31,
USNM 393797,Saguinus niger,,M,50.11,22.09,25.99,13.86,14.90,17.00,
USNM 397284,Saguinus fuscicollis,,?,47.76,21.74,24.37,14.89,14.97,16.98,
USNM 397302,Saguinus fuscicollis,,?,44.81,21.31,23.93,11.47,13.04,15.80,
USNM 238258,Saguinus fuscicollis,weddelli,M,46.36,21.32,23.31,13.08,14.18,15.94,
USNM 397278,Saguinus fuscicollis,,?,45.36,21.13,24.78,14.32,13.07,15.02,
USNM 397281,Saguinus fuscicollis,,?,46.00,21.19,24.46,13.97,14.56,14.16,
USNM 397283,Saguinus fuscicollis,,?,48.55,21.18,23.82,14.53,14.90,14.40,
USNM 397285,Saguinus fuscicollis,,?,45.50,26.02,24.10,12.72,14.19,15.22,
USNM 397659,Saguinus fuscicollis,,M,43.17,19.65,23.92,13.50,13.80,15.88,
USNM 397280,Saguinus fuscicollis,,?,46.24,21.36,24.64,13.49,15.27,14.63,
USNM 337331,Saguinus fuscicollis,illigeri,F,45.26,20.33,24.63,13.58,13.55,14.23,
USNM 238261,Saguinus fuscicollis,weddelli,?,44.76,19.81,24.18,13.32,13.33,15.40,
USNM 397239,Saguinus fuscicollis,,M,44.18,19.54,24.86,12.00,12.86,16.02,frontonasal suture partially obliterated
USNM 194331,Saguinus fuscicollis,weddelli,F,47.11,21.78,25.75,14.03,13.77,16.45,
USNM 397923,Saguinus fuscicollis,nigrifrons,?,45.83,20.81,25.35,14.13,13.84,15.80,
USNM 397924,Saguinus fuscicollis,nigrifrons,?,46.12,19.56,23.14,14.40,14.76,15.63,
USNM 518576,Saguinus fuscicollis,fuscicollis,F,46.82,17.95,24.15,13.21,14.62,15.14,
USNM 336299,Saguinus fuscicollis,illigeri,F,46.20,20.48,23.58,13.46,14.58,16.04,
USNM 461267,Saguinus fuscicollis,leucogenys,M,48.17,21.57,26.21,14.39,15.02,17.38,
USNM 194334,Saguinus fuscicollis,weddelli,M,47.47,22.39,25.07,14.47,14.26,16.18,
USNM 398730,Saguinus fuscicollis,illigeri,F,48.03,21.06,23.93,14.55,14.02,17.24,
USNM 398731,Saguinus fuscicollis,illigeri,?,44.59,20.71,22.31,13.76,13.78,16.76,
USNM 518585,Saguinus fuscicollis,avilapiresi,F,45.49,21.48,24.57,13.04,13.62,15.87,
USNM 518577,Saguinus fuscicollis,fuscicollis,M,45.75,20.45,24.13,14.57,13.72,15.13,
USNM 336301,Saguinus fuscicollis,illigeri,F,47.28,21.77,26.02,14.05,14.41,17.42,
USNM 398735,Saguinus fuscicollis,illigeri,F,46.69,21.67,24.51,11.92,14.15,17.63,
USNM 336300,Saguinus fuscicollis,illigeri,F,43.00,20.91,24.37,11.88,12.91,15.98,
USNM 281655,Saguinus leucopus,,M,48.38,21.68,24.55,15.01,14.66,16.18,
USNM 281649,Saguinus leucopus,,M,50.70,22.15,26.67,15.28,14.12,17.45,
USNM 281657,Saguinus leucopus,,F,50.53,22.84,25.66,15.94,15.41,17.59,
USNM 281652,Saguinus leucopus,,M,50.54,22.71,26.12,15.70,14.82,16.71,
USNM 281644,Saguinus leucopus,,F,48.65,21.41,24.78,14.50,14.72,16.47,
USNM 281645,Saguinus leucopus,,F,49.34,22.41,24.44,15.34,14.60,16.58,
USNM 281646,Saguinus leucopus,,F,52.48,22.31,26.88,16.63,16.26,17.20,
USNM 281643,Saguinus leucopus,,F,48.87,21.65,26.21,15.17,15.18,16.60,
USNM 281651,Saguinus leucopus,,M,50.68,23.54,27.29,15.43,15.44,17.97,
USNM 281634,Saguinus leucopus,,F,47.36,21.21,25.47,14.20,14.04,17.23,frontonasal suture partially obliterated
USNM 281641,Saguinus leucopus,,F,48.39,21.95,24.73,14.78,14.91,16.33,
USNM 281638,Saguinus leucopus,,M,48.34,21.32,25.03,14.89,14.39,17.14,
USNM 281640,Saguinus leucopus,,F,50.30,22.79,25.56,15.38,14.76,17.14,
USNM 281631,Saguinus leucopus,,M,49.45,22.13,26.12,15.50,14.82,16.35,
USNM 281630,Saguinus leucopus,,F,48.57,22.06,24.99,15.06,15.02,16.70,
USNM 281632,Saguinus leucopus,,M,48.71,21.89,25.99,15.07,13.97,17.10,
USNM 281637,Saguinus leucopus,,M,45.77,21.21,24.05,13.17,12.92,15.84,
USNM 281639,Saguinus leucopus,,M,49.85,22.67,26.16,15.21,15.13,17.53,
USNM 281647,Saguinus leucopus,,F,51.79,22.98,25.58,15.07,15.75,17.13,
USNM 281648,Saguinus leucopus,,F,51.45,23.30,25.84,16.97,15.48,17.50,
USNM 398824,Saguinus labiatus,,M,49.83,20.26,24.89,14.81,14.46,17.40,
USNM 522949,Saguinus labiatus,labiatus,F,49.50,21.14,25.47,14.43,15.17,15.03,
USNM 398815,Saguinus labiatus,,F,48.79,22.02,24.81,16.01,15.40,16.97,
USNM 398823,Saguinus labiatus,,M,49.48,22.02,25.30,15.42,15.73,16.42,
USNM 398819,Saguinus labiatus,,F,49.06,22.38,25.78,14.55,15.11,16.62,
USNM 398816,Saguinus labiatus,,M,49.67,22.25,25.43,14.67,14.56,17.03,
USNM 398822,Saguinus labiatus,,M,50.47,21.64,24.55,14.90,14.35,17.99,
USNM 398817,Saguinus labiatus,,M,50.09,21.90,25.25,15.56,15.53,16.80,
USNM 398820,Saguinus labiatus,,F,48.25,21.62,24.74,13.97,14.90,16.80,frontonasal suture partially obliterated
USNM 398826,Saguinus labiatus,,M,50.18,22.25,26.02,14.12,15.63,16.26,
USNM 398818,Saguinus labiatus,,M,49.04,22.18,26.53,15.23,14.86,16.34,frontonasal suture partially obliterated
USNM 398821,Saguinus labiatus,,F,49.19,22.08,25.79,16.25,14.12,17.28,
USNM 522950,Saguinus labiatus,labiatus,M,50.83,22.74,26.03,15.83,16.01,17.15,
USNM 398825,Saguinus labiatus,labiatus,M,49.49,21.28,24.75,16.00,14.79,17.19,
USNM 399078,Saguinus mystax,mystax,M,54.16,22.88,26.20,15.96,16.35,18.18,
USNM 399504,Saguinus mystax,,F,52.13,23.30,28.36,15.94,16.15,17.99,
USNM 399076,Saguinus mystax,mystax,M,54.52,22.96,27.16,17.79,17.32,17.98,
USNM 397880,Saguinus mystax,,?,52.34,23.32,26.96,15.60,16.20,17.18,
USNM 399077,Saguinus mystax,mystax,F,55.26,22.85,28.35,16.95,16.49,19.21,
USNM 397877,Saguinus mystax,,?,50.95,23.20,27.41,16.44,16.01,17.52,
USNM 399079,Saguinus mystax,mystax,M,54.28,22.78,26.79,17.41,16.43,18.53,
USNM 397871,Saguinus mystax,,?,53.15,23.08,26.83,16.24,16.60,18.14,
USNM 397240,Saguinus mystax,,F,53.71,22.97,27.39,16.86,16.07,17.51,
USNM 397242,Saguinus mystax,,M,53.01,23.12,27.65,16.52,16.20,17.41,
USNM 397930,Saguinus mystax,,?,51.76,22.98,26.64,15.79,15.46,17.56,
USNM 397870,Saguinus mystax,,?,53.59,23.33,28.03,16.59,15.68,17.74,
USNM 543485,Saguinus mystax,,M,52.46,22.21,26.54,16.55,16.41,17.85,
USNM 397876,Saguinus mystax,,?,53.26,23.30,26.80,17.34,17.13,17.22,
USNM 544382,Saguinus mystax,,M,53.17,23.06,27.74,18.37,16.49,17.60,
USNM 544381,Saguinus mystax,,F,54.06,24.10,27.78,17.06,16.60,18.84,
USNM 544383,Saguinus mystax,,F,53.84,24.38,26.75,17.36,16.38,18.78,
USNM 543489,Saguinus mystax,,F,51.74,23.25,26.09,15.57,15.34,17.27,
USNM 543488,Saguinus mystax,,M,52.12,23.29,26.91,16.40,16.00,17.65,
USNM 543487,Saguinus mystax,,F,50.38,22.36,25.90,16.22,15.24,16.82,
USNM 543490,Saguinus mystax,,M,52.78,23.54,27.07,14.46,16.96,19.00,
USNM 543486,Saguinus mystax,,F,54.72,23.86,28.18,17.42,17.16,17.12,
USNM 549522,Saguinus midas,,M,48.78,21.77,26.19,14.88,14.15,17.16,
USNM 393799,Saguinus midas,,F,52.04,23.86,26.41,16.62,15.22,18.63,
USNM 277587,Saguinus midas,,M,50.33,22.32,25.94,15.01,15.68,18.19,
USNM 393807,Saguinus midas,,M,50.65,23.06,26.45,14.93,15.43,17.50,
USNM 393806,Saguinus midas,,F,52.07,23.01,27.68,16.96,16.60,18.09,
USNM 393808,Saguinus midas,,F,50.52,22.11,26.66,13.62,14.66,16.85,
USNM 393809,Saguinus midas,,F,53.38,24.22,26.54,15.36,13.95,18.70,
USNM 362118,Saguinus midas,,?,48.20,21.35,25.39,14.34,14.67,17.17,damage to top of neurocranium near bregma
USNM 393800,Saguinus midas,,M,51.82,23.37,28.36,14.60,14.80,17.79,
USNM 393801,Saguinus midas,,M,49.87,22.24,26.41,14.17,15.80,16.95,
USNM 397888,Saguinus nigricollis,,?,49.66,21.92,26.16,14.12,16.02,17.90,
USNM 397856,Saguinus nigricollis,,?,45.47,22.35,26.11,13.22,14.15,15.67,
USNM 397299,Saguinus nigricollis,,?,49.15,22.54,25.34,14.89,16.27,17.29,
USNM 397855,Saguinus nigricollis,,?,47.63,21.62,25.11,15.11,15.15,16.24,
USNM 397298,Saguinus nigricollis,,?,48.84,20.86,25.73,13.32,15.11,17.81,
USNM 397297,Saguinus nigricollis,,?,48.04,21.18,26.15,14.46,15.23,16.65,
USNM 397296,Saguinus nigricollis,,?,47.32,19.78,24.28,14.16,14.40,16.13,
USNM 397890,Saguinus nigricollis,,?,49.04,21.74,26.13,14.00,14.80,17.00,
USNM 397889,Saguinus nigricollis,,?,48.90,21.11,26.22,13.06,15.55,17.64,sagittal and coronal sutures partially open
USNM 397887,Saguinus nigricollis,,?,48.42,20.83,25.89,15.77,14.89,18.09,
USNM 397300,Saguinus nigricollis,,?,49.06,22.33,25.59,14.63,15.10,16.07,
USNM 397891,Saguinus nigricollis,,?,46.78,19.22,26.00,14.50,15.28,15.93,
USNM 397891,Saguinus nigricollis,,?,46.64,21.51,25.19,16.54,15.46,16.48,
USNM 397869,Saguinus nigricollis,,?,48.45,21.57,25.06,14.57,15.37,16.38,
USNM 397858,Saguinus nigricollis,,?,46.08,21.67,24.66,14.66,14.66,16.09,
USNM 397920,Saguinus nigricollis,,?,45.15,20.48,24.75,14.02,13.79,15.47,
USNM 397894,Saguinus nigricollis,,?,44.98,19.48,25.31,13.79,13.37,14.98,
USNM 397291,Saguinus nigricollis,,?,47.29,21.33,24.50,14.24,15.55,16.52,
USNM 397290,Saguinus nigricollis,,?,50.07,20.96,26.51,14.49,16.15,16.51,sagittal and right coronal sutures partly open
USNM 397246,Saguinus nigricollis,,M,53.05,21.96,26.38,15.15,16.26,17.59,
USNM 397885,Saguinus nigricollis,,?,46.97,20.66,23.94,13.79,15.46,16.53,
USNM 397854,Saguinus nigricollis,,?,47.20,21.73,25.09,14.88,15.36,16.38,
USNM 397882,Saguinus nigricollis,,?,47.28,21.23,26.29,14.14,14.91,17.17,
USNM 397292,Saguinus nigricollis,,?,50.25,22.36,26.65,13.58,15.03,16.84,
USNM 397857,Saguinus nigricollis,,?,47.01,20.99,23.92,15.70,15.35,15.33,
USNM 284960,Saguinus geoffroyi,,F,51.57,23.90,25.97,16.02,16.44,17.36,
USNM 284761,Saguinus geoffroyi,,F,50.10,23.50,26.18,16.31,15.24,17.48,frontonasal suture partially obliterated
USNM 170915,Saguinus geoffroyi,,M,51.92,23.58,26.28,15.15,16.70,17.68,
USNM 301658,Saguinus geoffroyi,,F,50.26,22.08,26.21,15.63,15.10,16.53,
USNM 284762,Saguinus geoffroyi,,M,50.92,22.21,25.88,15.90,15.10,17.26,
USNM 284910,Saguinus geoffroyi,,F,52.08,23.25,26.01,14.85,15.73,17.55,neurocranium damaged (bullet holes)
USNM 284954,Saguinus geoffroyi,,M,51.82,23.35,26.51,15.14,16.72,16.95,frontonasal suture partially obliterated
USNM 301554,Saguinus geoffroyi,,F,50.60,22.05,26.82,15.27,14.54,17.77,
USNM 302338,Saguinus geoffroyi,,M,52.22,22.58,27.28,15.60,15.69,17.91,
USNM 305585,Saguinus geoffroyi,,M,52.94,24.38,27.40,15.91,17.02,18.12,
USNM 302344,Saguinus geoffroyi,,M,50.52,22.21,26.22,15.74,16.32,17.82,
USNM 257313,Saguinus geoffroyi,,F,51.16,23.76,27.13,15.55,15.46,17.75,
USNM 305588,Saguinus geoffroyi,,M,54.42,23.84,27.40,15.81,17.59,17.31,
USNM 305586,Saguinus geoffroyi,,F,51.89,22.74,27.80,15.17,15.78,17.05,
USNM 302472,Saguinus geoffroyi,,M,50.95,22.18,25.66,16.73,15.59,17.61,
USNM 301656,Saguinus geoffroyi,,F,50.91,22.75,27.41,14.08,14.88,17.24,
USNM 284763,Saguinus geoffroyi,,F,50.84,22.80,25.40,14.61,15.61,16.89,
USNM 297888,Saguinus geoffroyi,,F,50.78,22.42,25.44,13.27,15.55,17.00,
USNM 301398,Saguinus geoffroyi,,F,51.10,23.10,26.41,15.96,15.55,17.04,
USNM 302474,Saguinus geoffroyi,,F,50.40,22.87,25.64,15.11,14.63,17.11,
USNM 291244,Saguinus geoffroyi,,F,51.63,23.06,27.31,13.78,14.64,17.55,
USNM 296290,Saguinus geoffroyi,,F,52.14,23.67,26.38,14.95,15.26,17.45,
USNM 297890,Saguinus geoffroyi,,M,50.82,22.23,27.41,14.98,16.80,17.45,
USNM 272336,Saguinus geoffroyi,,M,50.99,23.76,27.06,16.31,16.09,17.00,
USNM 301557,Saguinus geoffroyi,,M,52.94,23.09,27.18,15.53,16.20,17.45,
USNM 301647,Saguinus geoffroyi,,M,50.51,22.31,26.41,15.29,16.03,17.61,
USNM 301393,Saguinus geoffroyi,,M,50.60,22.77,26.88,14.49,15.34,17.41,
USNM 302342,Saguinus geoffroyi,,M,50.66,22.35,26.66,14.82,15.09,17.16,
USNM 170910,Saguinus geoffroyi,,M,52.71,22.47,27.27,15.38,16.01,17.29,
USNM 301390,Saguinus geoffroyi,,M,51.19,23.79,26.57,15.63,15.83,17.63,
USNM 301562,Saguinus geoffroyi,,M,50.50,21.85,27.96,15.11,15.13,16.53,
USNM 305587,Saguinus geoffroyi,,M,52.40,22.03,28.29,15.39,16.38,17.35,
USNM 301153,Saguinus geoffroyi,,M,50.78,22.31,27.21,15.75,15.43,17.55,
USNM 310351,Saguinus geoffroyi,,F,52.24,23.34,27.27,17.05,16.48,17.19,
USNM 301154,Saguinus geoffroyi,,F,51.08,22.46,26.77,14.98,15.51,17.21,
USNM 302345,Saguinus geoffroyi,,F,49.18,22.25,24.61,15.13,14.68,16.92,
USNM 397849,Saguinus oedipus,,?,50.49,22.06,27.71,14.83,16.36,16.40,
USNM 501092,Saguinus oedipus,,F,46.76,20.97,26.05,13.40,14.01,16.35,
USNM 501088,Saguinus oedipus,,M,49.08,23.37,25.99,13.93,15.65,15.75,
USNM 501090,Saguinus oedipus,,M,49.46,22.80,25.54,13.94,15.35,16.33,
